// Intrepid WormE 3D contact orientations, Projection: LAM_AUST2, Datum: GDA94
// Intrepid assumes the solutions are below a aero-survey drape surface (zero value), with Z positive upwards
// This file also must be imported by Geomodeller along with the contacts, to define enough constraints to create fault surfaces
Contact,Easting,Northing,Elevation,DipDirection,Dip,Polarity
Contact65,1062194.4,-3086752.7,-15800.0,245.0,51.5, 1
Contact66,1364892.1,-3084355.4,-15800.0,118.0,59.6, 1
Contact67,1732237.0,-3133708.6,-15800.0,109.0,72.6, 1
Contact68,877116.9,-3125751.9,-15800.0,220.0,75.7, 1
Contact68,848579.3,-3096562.0,-3300.0,232.0,50.3, 1
Contact69,-1271982.9,-3176201.0,-15800.0,259.0,78.9, 1
Contact69,-1262669.6,-3237110.5,-3300.0,268.0,78.5, 1
Contact70,-1752874.4,-3196334.8,-15800.0,97.0,55.5, 1
Contact71,856186.8,-3189957.8,-15800.0,204.0,60.4, 1
Contact71,770611.2,-3145719.0,-3300.0,205.0,48.7, 1
Contact72,1513482.3,-3303326.6,-15800.0,95.0,64.7, 1
Contact72,1528380.6,-3221070.0,-3300.0,93.0,58.9, 1
Contact73,-358515.1,-3283947.0,-15800.0,111.0,63.3, 1
Contact74,-1146797.5,-3233456.5,-15800.0,243.0,81.0, 1
Contact75,-199316.5,-3209894.2,-15800.0,144.0,55.7, 1
Contact76,-409115.1,-3253719.0,-15800.0,117.0,58.7, 1
Contact77,-1729929.7,-3326898.6,-15800.0,96.0,72.1, 1
Contact78,-1239361.9,-3318600.6,-15800.0,237.0,48.0, 1
Contact78,-1237034.9,-3311869.1,-3300.0,226.0,82.0, 1
Contact79,478342.6,-3331425.5,-15800.0,229.0,68.5, 1
Contact80,-172485.0,-3363272.4,-15800.0,124.0,61.2, 1
Contact81,331196.2,-3378902.7,-15800.0,231.0,82.1, 1
Contact82,1222010.4,-3362274.0,-15800.0,155.0,54.1, 1
Contact83,-1241842.7,-3408130.9,-15800.0,229.0,50.1, 1
Contact84,-1139454.3,-3430391.2,-15800.0,227.0,63.9, 1
Contact84,-1135295.8,-3426117.9,-3300.0,237.0,55.2, 1
Contact85,-101997.5,-3417076.5,-15800.0,127.0,61.3, 1
Contact86,118220.4,-3399980.9,-15800.0,185.0,47.9, 1
Contact87,1809867.5,-3437211.6,-15800.0,104.0,85.4, 1
Contact88,1600454.5,-3527729.2,-15800.0,262.0,66.7, 1
Contact89,-376865.7,-3448203.8,-15800.0,204.0,55.3, 1
Contact90,734834.0,-3537758.8,-15800.0,251.0,70.4, 1
Contact90,735981.1,-3530282.5,-3300.0,255.0,45.2, 1
Contact91,-1776679.1,-3543889.9,-15800.0,246.0,73.9, 1
Contact91,-1776705.1,-3531881.5,-3300.0,248.0,80.2, 1
Contact92,-956752.3,-3595161.1,-15800.0,125.0,53.6, 1
Contact93,1111189.5,-3585745.2,-15800.0,252.0,70.7, 1
Contact94,1302754.1,-3574373.3,-15800.0,252.0,77.1, 1
Contact94,1312236.0,-3601939.1,-3300.0,248.0,47.4, 1
Contact95,360347.6,-3594900.1,-15800.0,91.0,61.1, 1
Contact96,-1170624.0,-3618687.7,-15800.0,260.0,75.2, 1
Contact97,1354829.7,-3602648.1,-15800.0,266.0,47.3, 1
Contact97,1357210.8,-3578786.3,-3300.0,258.0,50.3, 1
Contact98,1710866.0,-3638760.6,-15800.0,223.0,56.1, 1
Contact99,-1282711.6,-3637641.0,-15800.0,163.0,52.4, 1
Contact100,-1128428.5,-3682568.3,-15800.0,113.0,57.3, 1
Contact101,421333.5,-3742173.0,-15800.0,263.0,55.6, 1
Contact102,696624.7,-3723710.2,-15800.0,136.0,46.0, 1
Contact102,736923.8,-3686686.7,-3300.0,139.0,54.9, 1
Contact103,945934.6,-3690880.6,-15800.0,163.0,56.2, 1
Contact104,-1097276.5,-3751520.1,-15800.0,113.0,61.1, 1
Contact104,-1092508.3,-3728020.2,-3300.0,112.0,69.2, 1
Contact105,794204.6,-3815423.0,-15800.0,139.0,49.7, 1
Contact105,785807.7,-3812918.3,-3300.0,143.0,79.3, 1
Contact106,1348964.8,-3823359.4,-15800.0,268.0,68.0, 1
Contact107,1286173.2,-3863076.8,-15800.0,123.0,67.2, 1
Contact108,1416853.2,-3848700.6,-15800.0,236.0,68.0, 1
Contact109,-1561929.6,-3898957.2,-15800.0,184.0,61.2, 1
Contact109,-1540357.7,-3911111.1,-3300.0,200.0,47.5, 1
Contact110,1313892.1,-4021855.8,-15800.0,261.0,67.0, 1
Contact110,1298539.8,-3987512.3,-3300.0,266.0,57.9, 1
Contact111,-1516266.0,-3990871.1,-15800.0,179.0,82.0, 1
Contact111,-1492043.3,-3992632.3,-3300.0,177.0,71.1, 1
Contact112,1215610.9,-4182901.0,-15800.0,257.0,51.6, 1
Contact113,959352.2,-4168075.0,-15800.0,119.0,75.4, 1
Contact114,1155130.0,-4734438.7,-15800.0,263.0,71.1, 1
Contact114,1171600.0,-4744785.5,-3300.0,268.0,84.9, 1
