// Intrepid WormE 3D contacts, Projection: LAM_AUST2, Datum: GDA94
// Intrepid assumes the solutions are below a aero-survey drape surface (zero value), with Z positive upwards
Contact,Easting,Northing,Elevation,Anomaly
Contact15,493853.468750,-2040546.500000,-15800.000000,0.001411
Contact15,440000.000000,-2049941.625000,-15800.000000,0.002347
Contact15,395083.125000,-2060074.625000,-15800.000000,0.002924
Contact15,337600.000000,-2059062.625000,-15800.000000,0.003083
Contact15,298658.062500,-2046924.750000,-15800.000000,0.002532
Contact15,422933.343750,-2047918.750000,-3300.000000,0.003109
Contact15,405872.593750,-2053860.750000,-3300.000000,0.007051
Contact15,392000.000000,-2063159.000000,-3300.000000,0.005406
Contact15,369600.000000,-2068983.000000,-3300.000000,0.006962
Contact15,352533.343750,-2063192.625000,-3300.000000,0.006234
Contact16,240738.875000,-2071794.500000,-15800.000000,0.001999
Contact16,220029.921875,-2086103.375000,-15800.000000,0.001987
Contact16,204255.859375,-2112544.250000,-15800.000000,0.001531
Contact16,169387.875000,-2130345.500000,-15800.000000,0.000753
Contact16,165252.718750,-2140632.250000,-15800.000000,0.000652
Contact17,-148329.546875,-2146070.500000,-15800.000000,0.000985
Contact17,-132075.968750,-2166590.750000,-15800.000000,0.001464
Contact17,-115760.601563,-2189306.000000,-15800.000000,0.001456
Contact17,-102014.851563,-2215851.750000,-15800.000000,0.001085
Contact18,188266.671875,-2161176.250000,-15800.000000,0.001912
Contact18,159301.218750,-2178832.000000,-15800.000000,0.001684
Contact18,137619.765625,-2194113.500000,-15800.000000,0.001613
Contact18,108564.156250,-2206102.500000,-15800.000000,0.000711
Contact18,93982.960938,-2207883.750000,-15800.000000,0.000638
Contact19,-1164266.625000,-2171932.250000,-15800.000000,0.001729
Contact19,-1115515.375000,-2188487.000000,-15800.000000,0.001748
Contact19,-1077435.000000,-2202565.000000,-15800.000000,0.001526
Contact19,-1043029.312500,-2219847.500000,-15800.000000,0.002538
Contact19,-1016985.250000,-2245948.000000,-15800.000000,0.002962
Contact19,-1014596.312500,-2248337.000000,-15800.000000,0.002908
Contact20,643531.187500,-2193802.250000,-15800.000000,0.001511
Contact20,625414.125000,-2228800.000000,-15800.000000,0.002397
Contact20,618959.562500,-2286400.000000,-15800.000000,0.002448
Contact20,605638.500000,-2338361.500000,-15800.000000,0.002024
Contact20,590885.125000,-2384533.250000,-15800.000000,0.001767
Contact20,590885.125000,-2384533.250000,-15800.000000,0.001767
Contact21,-1007104.062500,-2247296.000000,-15800.000000,0.002995
Contact21,-968040.000000,-2282093.250000,-15800.000000,0.002700
Contact21,-931675.187500,-2314191.500000,-15800.000000,0.001891
Contact21,-902819.687500,-2355847.000000,-15800.000000,0.002090
Contact21,-861681.187500,-2390657.750000,-15800.000000,0.001730
Contact21,-860497.812500,-2396035.500000,-15800.000000,0.001783
Contact22,-101866.664063,-2259672.750000,-15800.000000,0.001231
Contact22,-46694.628906,-2294638.750000,-15800.000000,0.001893
Contact22,-6448.317871,-2334885.000000,-15800.000000,0.002087
Contact22,41283.687500,-2371950.250000,-15800.000000,0.001455
Contact22,66300.984375,-2418630.750000,-15800.000000,0.001793
Contact22,61655.917969,-2419410.750000,-15800.000000,0.001894
Contact22,-40751.460938,-2299515.250000,-3300.000000,0.004225
Contact22,-29565.453125,-2307501.250000,-3300.000000,0.005171
Contact22,-18277.166016,-2315589.500000,-3300.000000,0.005223
Contact22,-10691.988281,-2327441.250000,-3300.000000,0.005351
Contact22,-6051.708984,-2331015.000000,-3300.000000,0.005249
Contact23,1268707.000000,-2295907.000000,-15800.000000,0.001641
Contact23,1283723.375000,-2321590.000000,-15800.000000,0.001672
Contact23,1308704.375000,-2329504.500000,-15800.000000,0.001086
Contact23,1328674.125000,-2347340.750000,-15800.000000,0.000955
Contact23,1340112.375000,-2350477.750000,-15800.000000,0.000535
Contact23,1298372.000000,-2321868.000000,-3300.000000,0.002157
Contact23,1313600.000000,-2331481.000000,-3300.000000,0.008130
Contact23,1333047.250000,-2339980.500000,-3300.000000,0.006153
Contact23,1316809.250000,-2347182.750000,-3300.000000,0.003002
Contact23,1299319.250000,-2335410.750000,-3300.000000,0.001287
Contact24,-1161389.750000,-2306343.500000,-15800.000000,0.001208
Contact24,-1125894.375000,-2322639.000000,-15800.000000,0.002049
Contact24,-1089600.000000,-2339224.250000,-15800.000000,0.001998
Contact24,-1044800.000000,-2341417.000000,-15800.000000,0.001764
Contact24,-1020376.125000,-2352490.250000,-15800.000000,0.001566
Contact25,-665737.000000,-2307063.000000,-15800.000000,0.001229
Contact25,-651386.375000,-2325680.250000,-15800.000000,0.001276
Contact25,-639448.062500,-2361048.000000,-15800.000000,0.001509
Contact25,-656879.812500,-2387013.250000,-15800.000000,0.001979
Contact25,-662383.250000,-2392516.500000,-15800.000000,0.001681
Contact26,-1287056.125000,-2317210.500000,-15800.000000,0.001595
Contact26,-1236239.500000,-2368027.250000,-15800.000000,0.003066
Contact26,-1200274.750000,-2440000.000000,-15800.000000,0.003087
Contact26,-1160797.250000,-2509516.000000,-15800.000000,0.002074
Contact26,-1115135.625000,-2565824.750000,-15800.000000,0.002828
Contact26,-1097473.875000,-2590240.500000,-15800.000000,0.002713
Contact27,1104961.125000,-2353172.250000,-15800.000000,0.001806
Contact27,1149659.750000,-2366726.500000,-15800.000000,0.001167
Contact27,1201405.375000,-2382212.000000,-15800.000000,0.003228
Contact27,1252800.000000,-2391430.000000,-15800.000000,0.002086
Contact27,1305838.375000,-2385547.500000,-15800.000000,0.001114
Contact27,1305543.375000,-2384185.250000,-15800.000000,0.000924
Contact28,645331.937500,-2371733.250000,-15800.000000,0.002370
Contact28,640575.437500,-2403691.250000,-15800.000000,0.002791
Contact28,623939.437500,-2428418.750000,-15800.000000,0.003653
Contact28,620518.125000,-2465600.000000,-15800.000000,0.002891
Contact28,637465.937500,-2485999.250000,-15800.000000,0.001747
Contact29,1443935.875000,-2378997.500000,-15800.000000,0.002421
Contact29,1454695.125000,-2422161.750000,-15800.000000,0.002891
Contact29,1484051.500000,-2457918.250000,-15800.000000,0.002843
Contact29,1503385.875000,-2513966.250000,-15800.000000,0.002385
Contact29,1525038.500000,-2545838.500000,-15800.000000,0.001779
Contact30,-1282269.000000,-2388131.000000,-15800.000000,0.001839
Contact30,-1265909.250000,-2425824.000000,-15800.000000,0.003652
Contact30,-1245700.125000,-2454566.500000,-15800.000000,0.004080
Contact30,-1243389.875000,-2497600.000000,-15800.000000,0.002543
Contact30,-1228013.125000,-2542400.000000,-15800.000000,0.001478
Contact30,-1227568.500000,-2544533.250000,-15800.000000,0.001513
Contact31,679728.937500,-2395995.750000,-15800.000000,0.000965
Contact31,694026.687500,-2438026.750000,-15800.000000,0.001393
Contact31,711337.875000,-2510400.000000,-15800.000000,0.001305
Contact31,739597.750000,-2564664.500000,-15800.000000,0.002281
Contact31,767439.562500,-2632000.000000,-15800.000000,0.001592
Contact31,777045.562500,-2651178.750000,-15800.000000,0.000944
Contact31,682991.500000,-2453658.250000,-3300.000000,0.003024
Contact31,705746.437500,-2507200.000000,-3300.000000,0.008010
Contact31,729016.875000,-2554083.500000,-3300.000000,0.005756
Contact31,754935.437500,-2600000.000000,-3300.000000,0.007221
Contact31,772627.500000,-2655294.250000,-3300.000000,0.004350
Contact31,799466.687500,-2670710.750000,-3300.000000,0.002516
Contact32,-1334538.500000,-2446794.750000,-15800.000000,0.002260
Contact32,-1317211.125000,-2483322.250000,-15800.000000,0.002558
Contact32,-1300724.375000,-2514742.250000,-15800.000000,0.002780
Contact32,-1276402.250000,-2545464.500000,-15800.000000,0.002049
Contact32,-1259378.250000,-2579555.000000,-15800.000000,0.002337
Contact32,-1257901.500000,-2581031.750000,-15800.000000,0.002318
Contact32,-1279981.750000,-2555751.500000,-3300.000000,0.004978
Contact32,-1256489.000000,-2603200.000000,-3300.000000,0.005056
Contact32,-1334973.500000,-2440000.000000,-3300.000000,0.004130
Contact32,-1311543.250000,-2492261.250000,-3300.000000,0.007260
Contact32,-1283968.000000,-2534698.500000,-3300.000000,0.003620
Contact32,-1280823.750000,-2541471.250000,-3300.000000,0.004102
Contact33,746871.375000,-2448533.250000,-15800.000000,0.000977
Contact33,746804.750000,-2503604.750000,-15800.000000,0.001706
Contact33,784067.312500,-2535033.250000,-15800.000000,0.001970
Contact33,809565.375000,-2583432.000000,-15800.000000,0.002151
Contact33,827090.687500,-2632000.000000,-15800.000000,0.001342
Contact33,827361.750000,-2640533.250000,-15800.000000,0.001111
Contact33,794160.625000,-2524266.750000,-3300.000000,0.003117
Contact33,798476.625000,-2542400.000000,-3300.000000,0.005127
Contact33,802242.500000,-2561600.000000,-3300.000000,0.004075
Contact33,805373.937500,-2576040.500000,-3300.000000,0.003942
Contact33,810628.000000,-2586985.250000,-3300.000000,0.003001
Contact34,581436.500000,-2460569.750000,-15800.000000,0.002128
Contact34,603699.125000,-2523200.000000,-15800.000000,0.002155
Contact34,622259.687500,-2598793.000000,-15800.000000,0.002613
Contact34,633264.062500,-2657600.000000,-15800.000000,0.001416
Contact34,658785.875000,-2727052.500000,-15800.000000,0.001209
Contact34,661371.125000,-2742246.750000,-15800.000000,0.000909
Contact34,583953.062500,-2463466.750000,-3300.000000,0.003532
Contact34,586993.562500,-2488000.000000,-3300.000000,0.006825
Contact34,594412.312500,-2510145.500000,-3300.000000,0.007384
Contact34,598870.187500,-2532800.000000,-3300.000000,0.008086
Contact34,601341.125000,-2556266.750000,-3300.000000,0.006375
Contact34,601341.125000,-2556266.750000,-3300.000000,0.006375
Contact35,573189.625000,-2518933.250000,-15800.000000,0.001222
Contact35,576584.562500,-2561600.000000,-15800.000000,0.002081
Contact35,582356.312500,-2603284.000000,-15800.000000,0.001833
Contact35,598629.750000,-2634896.500000,-15800.000000,0.001851
Contact35,576621.062500,-2559466.750000,-3300.000000,0.006067
Contact35,577253.625000,-2577600.000000,-3300.000000,0.007924
Contact35,578738.687500,-2596800.000000,-3300.000000,0.006616
Contact35,588313.125000,-2608579.750000,-3300.000000,0.003591
Contact35,589680.625000,-2609947.250000,-3300.000000,0.003412
Contact36,17895.884766,-2552743.500000,-15800.000000,0.002257
Contact36,62274.148438,-2565740.750000,-15800.000000,0.002304
Contact36,109564.898438,-2585298.250000,-15800.000000,0.002900
Contact36,171200.000000,-2604077.000000,-15800.000000,0.004366
Contact36,219259.843750,-2637393.250000,-15800.000000,0.003776
Contact36,221469.515625,-2639602.750000,-15800.000000,0.003786
Contact37,-581866.687500,-2564000.500000,-15800.000000,0.001675
Contact37,-545600.000000,-2564542.250000,-15800.000000,0.002561
Contact37,-507200.000000,-2573460.250000,-15800.000000,0.001992
Contact37,-479606.718750,-2591326.500000,-15800.000000,0.000919
